Number of words:  7781959860		
WORD	COUNT	FREQPERMILLION
YES	2165361	278.253941032279000
YET	2159815	277.541267091552000
CHANGE	2159533	277.505029433549000
LOOKING	2158448	277.365604401871000
CLICK	2154084	276.804820219157000
OFTEN	2149133	276.168605166771000
E	2148795	276.125171378101000
S	2146650	275.849533873078000
BELOW	2144855	275.618872184725000
HIGH	2138046	274.743899796985000
SERVICES	2129995	273.709327511232000
ORDER	2128135	273.470313171212000
ARTICLES	2125542	273.137106620851000
TELL	2121026	272.556790083469000
EVER	2119659	272.381127393787000
TIMES	2112201	271.422756991707000
SOMEONE	2099937	269.846804375575000
X	2096039	269.345902280200000
THANKS	2090737	268.664582908810000
LOVE	2090119	268.585168466803000
ABILITY	2084963	267.922610436081000
SHOW	2079595	267.232809910690000
ENOUGH	2077107	266.913096105330000
DIFFERENT	2075903	266.758379295984000
ETC	2072557	266.328410488614000
POWER	2069378	265.919901570914000
COUNTRY	2068203	265.768911329234000
UN	2065317	265.398053595203000
ANYONE	2057542	264.398947953453000
HUMAN	2049867	263.412692545037000
ONCE	2046898	263.031169117338000
SECURITY	2033646	261.328256195863000
KEEP	2026588	260.421286727120000
JUDGE	2025486	260.279677155775000
COURSE	2024605	260.166466600099000
TECHNICAL	2014689	258.892237462659000
CONTENT	2014382	258.852787246322000
HOME	2011291	258.455586533956000
PA	2006263	257.809476801902000
ID	2002544	257.331576624195000
DONE	2001250	257.165294604848000
BIG	1990378	255.768217236731000
LINE	1976130	253.937315991244000
BAD	1970950	253.271673904522000
PLACE	1964623	252.458639641454000
TRUE	1947313	250.234264251268000
DOING	1940169	249.316243581858000
MEAN	1934350	248.568488504129000
CONTRACT	1932987	248.393339823781000
B	1929987	248.007832823748000
DAYS	1928439	247.808911211732000
HOUSE	1923357	247.155862353677000
THREE	1922968	247.105874946006000
HUNDREDS	1922203	247.007570660998000
POSTED	1921592	246.929055735325000
NEXT	1912381	245.745420742892000
ADDRESS	1910465	245.499210272205000
ISN'T	1908160	245.203012393847000
THOUGH	1897819	243.874169764736000
OPPORTUNITY	1883473	242.030675290582000
THOUGHT	1878622	241.407310471529000
CONTROL	1867854	240.023597346080000
FAR	1867624	239.994041809411000
V	1857576	238.702850363970000
BIT	1856747	238.596321929628000
HAVING	1849070	237.609809516545000
M	1848447	237.529752562872000
LET	1847466	237.403691773861000
EITHER	1839885	236.429515584780000
CANDIDATES	1834417	235.726864826054000
PROGRAM	1831178	235.310645768353000
HOWEVER	1829800	235.133569553005000
RECRUITER	1829003	235.031153193329000
WORD	1827028	234.777361084975000
CHECK	1823828	234.366153618274000
TECH	1818462	233.676610097549000
NY	1800149	231.323346867019000
ORIGINAL	1789496	229.954411509905000
GENERAL	1785853	229.486277509532000
DURING	1785146	229.395426359858000
AWAY	1781826	228.968798613156000
CARE	1779021	228.608349568125000
SERVER	1777388	228.398505257775000
QUESTION	1773389	227.884624426731000
I'LL	1772431	227.761519191388000
OFFER	1763291	226.587007864623000
ACCOUNT	1754993	225.520695502534000
CALLED	1750868	224.990623377489000
SE	1747241	224.524545414450000
WRONG	1741737	223.817268571725000
PROCESS	1734237	222.853501071644000
CLASSIFIED	1721436	221.208542702506000
ALREADY	1716433	220.565645528786000
RATHER	1716151	220.529407870783000
LINK	1706420	219.278951665012000
REPORT	1702785	218.811845683306000
AVAILABLE	1701831	218.689254457296000
PLAY	1698627	218.277532981261000
OFFICE	1695383	217.860671411893000
SUBMISSION	1692678	217.513072600197000
BASED	1692416	217.479404988861000
PLUS	1690275	217.204281493171000
TENS	1683612	216.348070446100000
RESPONSIBLE	1682694	216.230105304090000
PROVIDE	1681187	216.036452287740000
OPINIONS	1676244	215.401265254020000
VERSION	1674344	215.157110820667000
LESS	1670989	214.725985492297000
PROBABLY	1667982	214.339578975932000
KIND	1664773	213.927214988231000
NECESSARY	1660839	213.421686808855000
TH	1658968	213.181258943168000
SEARCHES	1657923	213.046974004824000
W	1654646	212.625871858455000
VIA	1645946	211.507901558361000
LEFT	1640105	210.757319429299000
ALMOST	1638840	210.594763977618000
TEST	1638807	210.590523400618000
WHITE	1636375	210.278005725925000
REQUIREMENTS	1630238	209.489386906193000
SUBSCRIBE	1628907	209.318350300512000
TOLD	1628164	209.222873066837000
CAREERS	1618924	208.035511506738000
ISRAEL	1616198	207.685214146042000
TRYING	1615969	207.655787111706000
LEVEL	1610314	206.929106416645000
ENVIRONMENT	1604205	206.144085662246000
MAYBE	1602587	205.936168886895000
MAKING	1600355	205.649351678871000
COMPUTER	1599082	205.485768208524000
AMONG	1598414	205.399928649850000
UNDERSTAND	1597665	205.303680402176000
AL	1596110	205.103859273826000
MEN	1596078	205.099747199159000
COMING	1592899	204.691238281458000
NATIONAL	1590350	204.363685833764000
NORTHEASTERN	1589382	204.239295575087000
OTHERWISE	1586859	203.915084188060000
MR	1582907	203.407242966684000
BOOK	1580464	203.093311766324000
MANAGER	1578545	202.846715788637000
GMT	1576837	202.627233803285000
NJ	1575225	202.420088041934000
DEGREE	1570083	201.759329043879000
REASON	1560646	200.546652524111000
MEANS	1560173	200.485870920439000
MILITARY	1555203	199.847214323719000
ELSE	1554498	199.756620178712000
CLIENT	1551440	199.363660043345000
SUN	1548842	199.029810981317000
POSSIBLE	1547109	198.807116437632000
REPLY	1544218	198.435616191934000
RUN	1541592	198.098169064573000
ATTENTION	1531495	196.800681004798000
CHILDREN	1523351	195.754158002043000
GETTING	1515865	194.792189534630000
MEMBER	1514376	194.600849560280000
AMERICA	1503724	193.232042705499000
CONSIDERED	1500308	192.793078734796000
LATER	1493302	191.892791387387000
TRUTH	1492282	191.761719007376000
TITLES	1491389	191.646966423700000
ANSWER	1479789	190.156339356908000
GAME	1471189	189.051219290149000
EVENTS	1467572	188.586426350444000
APPLICATION	1462376	187.918728226388000
MAGAZINES	1450302	186.367191053591000
J	1443435	185.484765530518000
PRETTY	1443093	185.440817732514000
SEEN	1441502	185.236370520164000
INSTEAD	1439549	184.985405463143000
WEEKS	1433628	184.224543147412000
SIMPLY	1432392	184.065714263399000
GIVEN	1430160	183.778897055375000
MAKES	1428483	183.563398642357000
SMALL	1422114	182.744967281288000
STOP	1420343	182.517389648936000
WINDOWS	1417773	182.187138652242000
MODERATORS	1417701	182.177886484241000
LOCAL	1412935	181.565444363523000
DEL	1412272	181.480247316516000
TOP	1409027	181.063257244814000
MIND	1408381	180.980244737474000
SEEMS	1408035	180.935782930137000
PROVIDED	1405067	180.554388004772000
POLITICAL	1399970	179.899411611717000
ISSUES	1399491	179.837858994045000
PROBLEMS	1396392	179.439630263012000
RIGHTS	1392997	179.003364841309000
FOCUS	1392913	178.992570645308000
FAIR	1389211	178.516855007268000
LARGE	1385644	178.058487184230000
HISTORY	1384158	177.867532716880000
HE'S	1383450	177.776553064873000
LEARNING	1382673	177.676706751864000
WOMEN	1381009	177.462878869180000
COPY	1379154	177.224507040827000
NEARLY	1377484	177.009908144142000
CANNOT	1375952	176.813042569459000
EXAMPLE	1373731	176.527638887102000
SEVERAL	1373404	176.485618624098000
USENET	1371825	176.282713439748000
WRITTEN	1368280	175.827172668043000
GROUPS	1366656	175.618484878692000
HARD	1366524	175.601522570691000
WORDS	1366307	175.573637564355000
FEEL	1366303	175.573123555022000
JEWS	1364609	175.355440602337000
YOU'LL	1362182	175.043565439311000
EVIDENCE	1356021	174.251862563578000
R	1355864	174.231687697243000
AGO	1353025	173.866869572879000
OFFERS	1350692	173.567073629187000
CAME	1349618	173.429062123176000
MATTER	1346888	173.078250753146000
FINANCIAL	1345369	172.883055708797000
TRAINING	1339330	172.107030117732000
OUTSIDE	1332310	171.204943737656000
THEY'RE	1328500	170.715349847615000
SECOND	1326721	170.486744196596000
LIGHT	1319323	169.536083934517000
NEEDS	1319175	169.517065589182000
SAYING	1319002	169.494834685513000
DC	1318550	169.436751630842000
OH	1312084	168.605855543439000
REFERENCE	1311898	168.581954109437000
INTERNATIONAL	1310287	168.374936850420000
FAMILY	1309500	168.273805514078000
BEHIND	1303779	167.538643665016000
GEORGE	1303332	167.481203122011000
MEMBERS	1301851	167.290891166329000
WHETHER	1297289	166.704663521613000
SCIENCE	1295218	166.438535189258000
LEADING	1291223	165.925168367548000
PROJECTS	1290102	165.781117251869000
JESUS	1288624	165.591190803187000
MS	1287230	165.412058550505000
BLACK	1281795	164.713648368780000
IDEA	1281714	164.703239679779000
WORKS	1281049	164.617785628105000
QUITE	1280527	164.550707410100000
WEEK	1277930	164.216986850405000
CURRENT	1277880	164.210561733738000
FILE	1277742	164.192828411736000
WED	1272365	163.501871365345000
PER	1267899	162.927979944631000
HEAD	1265742	162.650800411607000
ES	1263865	162.409601531921000
REMEMBER	1262731	162.263879885908000
BODY	1262333	162.212735957237000
ASK	1260811	162.017155405888000
WENT	1258870	161.767732376867000
CANDIDATE	1257898	161.642828108856000
ANALYSIS	1257398	161.578576942184000
FRONT	1256997	161.527047506513000
ADMINISTRATION	1256941	161.519851375846000
CHURCH	1254427	161.196796509819000
NETWORK	1254056	161.149122144148000
DAVID	1247656	160.326707210746000
MILLION	1246512	160.179700541401000
HOPE	1244526	159.924494907379000
PARTY	1242620	159.679569460025000
LOST	1241919	159.589489324351000
QUALITY	1241264	159.505320296011000
DOG	1239047	159.220430622987000
DEATH	1238257	159.118913779645000
ISSUE	1233801	158.546307382264000
EXCELLENT	1231996	158.314360670578000
H	1227571	157.745737845530000
ACCORDING	1225470	157.475754443174000
PRODUCT	1224867	157.398267536168000
REPORTS	1224753	157.383618270167000
NEAR	1224489	157.349693654164000
BECOME	1222183	157.053367273472000
BILL	1221863	157.012246526802000
APPLICATIONS	1221451	156.959303565465000
ATTACK	1221164	156.922423395795000
EVERYTHING	1219581	156.719004202111000
CON	1218251	156.548096098763000
SENIOR	1218128	156.532290311762000
STUPID	1215650	156.213861529736000
YOUNG	1215353	156.175696336732000
I'D	1214275	156.037170821387000
L	1213646	155.956342853714000
CITY	1213473	155.934111950045000
SOURCE	1211731	155.710260885360000
MAIL	1209372	155.407123881001000
DEC	1203817	154.693293419275000
SALES	1202769	154.558622973930000
RESEARCH	1202131	154.476638485257000
HAND	1201311	154.371266571915000
TALK	1200283	154.239166173237000
FIELD	1199542	154.143945944229000
WHOLE	1198304	153.984860055549000
PLAN	1192597	153.251497239154000
EVERYONE	1190046	152.923687786794000
KNOWN	1188727	152.754193209113000
POLICE	1186868	152.515307371426000
ACCOUNTING	1186712	152.495261007424000
UNIVERSITY	1184372	152.194565547399000
PAST	1181711	151.852620838371000
SIDE	1181412	151.814198640701000
KILL	1179330	151.546656782678000
WATER	1175543	151.060018446304000
UNDERSTANDING	1174406	150.913911293292000
TRIAL	1171787	150.577363682264000
F	1170588	150.423289384584000
COMMUNICATION	1167146	149.980984353214000
INSIDE	1167069	149.971089673547000
PRODUCTS	1165455	149.763686907529000
MOVE	1163464	149.507838761841000
ADDRESSES	1162211	149.346825338161000
MON	1161769	149.290027306823000
ACCESS	1160275	149.098044820807000
BEGIN	1159745	149.029938584134000
COURT	1154832	148.398606620415000
ENGINEERING	1147638	147.474160834338000
T	1147210	147.419161835666000
NEEDED	1145793	147.237074029318000
OIL	1145456	147.193768742981000
EASY	1144815	147.111398747307000
SCHOOL	1143702	146.968375650295000
MD	1142970	146.874311942288000
YORK	1141124	146.637096634934000
SOLUTIONS	1140106	146.506281259590000
CLAIM	1139480	146.425838798917000
PAGE	1138809	146.339613733243000
FORM	1137791	146.208798357899000
SERVING	1136285	146.015273843882000
DIE	1135593	145.926350229208000
IMPORTANT	1134794	145.823676864866000
STORY	1133265	145.627196797183000
ACT	1130690	145.296303288822000
PERSONAL	1126716	144.785635016113000
N	1124282	144.472860336753000
STUFF	1124088	144.447930884085000
SAT	1122774	144.279078818070000
CUSTOMER	1122669	144.265586073069000
TESTING	1120294	143.960393031377000
SHALL	1113558	143.094801313971000
YOURSELF	1111526	142.833684572616000
G	1111364	142.812867194614000
TOOK	1109214	142.536587177925000
HATE	1101736	141.575646729178000
SHORT	1098558	141.167266313810000
STATED	1097404	141.018974621131000
THEMSELVES	1093690	140.541716955091000
LEGALLY	1087802	139.785095216361000
PERHAPS	1087345	139.726369650023000
ASKED	1084647	139.379670354661000
STARTED	1082192	139.064197126301000
SALARY	1081512	138.976815539627000
SEEM	1080814	138.887120910953000
PREFERRED	1077218	138.425026520247000
RESIDENT	1076389	138.318498085905000
SENSE	1075750	138.236385094898000
MEDIA	1073107	137.896753427870000
DEVELOP	1072431	137.809885850529000
UPON	1071659	137.710682049188000
BR	1067591	137.187934557144000
APPLICANT	1066845	137.092071816469000
ALONG	1064222	136.755010196108000
TALKING	1063716	136.689988015435000
MAJOR	1062329	136.511755279087000
HEALTH	1062263	136.503274125087000
INDUSTRIES	1061689	136.429513785747000
CLEAN	1060889	136.326711919072000
PM	1059450	136.141797061390000
INDUSTRY	1059197	136.109285971054000
NEWSGROUP	1055859	135.680345182351000
HR	1055782	135.670450502684000
DATABASE	1053883	135.426424571663000
POOR	1052245	135.215937749645000
STAFF	1048445	134.727628882938000
MINIMUM	1047401	134.593472446927000
SPECIAL	1042665	133.984885396209000
CAR	1034103	132.884648418117000
NIGHT	1033459	132.801892915444000
REST	1029172	132.251003412397000
NICE	1028848	132.209368656394000
PROFESSIONAL	1027142	131.990143675709000
NEWSGROUPS	1026825	131.949408436039000
POSTER	1026683	131.931161104704000
LEAD	1025906	131.831314791696000
VARIOUS	1023552	131.528820299004000
NOTE	1022014	131.331183710320000
PARA	1021359	131.247014681980000
COST	1021118	131.216045619644000
SON	1019356	130.989624508292000
MARKET	1017911	130.803938636610000
DEPARTMENT	1017657	130.771299043940000
EARTH	1017280	130.722853664270000
SEARCH	1016511	130.624035369928000
SIZE	1015832	130.536782285587000
TOTAL	1014670	130.387462574242000
CLEAR	1012331	130.086895616550000
FOUR	1010049	129.793653291859000
CHRISTIAN	1009923	129.777461997857000
SEX	1006749	129.369595591823000
GLOBAL	1004486	129.078794811465000
OFFERED	1003386	128.937442244787000
AMERICANS	1001515	128.697014379100000
SPAM	1000708	128.593312996091000
POSTINGS	1000451	128.560287896422000
DEAD	1000183	128.525849271086000
LEGAL	998191	128.269872623064000
CAUSE	994948	127.853139556030000
WANTS	994893	127.846071927696000
FORCE	988341	127.004124639625000
MAR	984344	126.490500813249000
EXTENSIVE	983686	126.405946277908000
WASHINGTON	983422	126.372021661906000
HEARD	975241	125.320744072818000
CANADA	973168	125.054358735795000
ACTION	970878	124.760088392437000
CENTER	970229	124.676690378097000
COMES	968371	124.437933042744000
RUNNING	965249	124.036748758044000
QUESTIONS	964853	123.985861834039000
TRIED	964467	123.936259933369000
ST	964435	123.932147858701000
MARK	964254	123.908888936366000
OCCUPATIONS	963585	123.822920875359000
RECEIVE	960333	123.405031287324000
ENGINEER	960131	123.379073815989000
THROUGHOUT	959984	123.360183972987000
WOULDN'T	959307	123.273187893313000
PURCHASE	958715	123.197114511973000
CATEGORY	957001	122.976861512622000
FAIRS	956489	122.911068317949000
POSTS	953945	122.584158381922000
COMPLETE	952825	122.440235768577000
GUESS	952413	122.387292807239000
FUTURE	951653	122.289631033897000
LIKELY	951352	122.250951831561000
THANK	948558	121.891916312197000
SEEKING	948338	121.863645798862000
TOOLS	947399	121.742982107852000
BUY	946483	121.625273970509000
DAILY	945331	121.477239282496000
CARD	944425	121.360816168486000
JEWISH	944169	121.327919571150000
ADDING	942536	121.118075260799000
GUY	939975	120.788980785105000
POLICY	936303	120.317120217066000
FOOD	934780	120.121411163383000
EXACTLY	934472	120.081832444713000
FACE	934022	120.024006394708000
KILLED	932965	119.888179428363000
ORGANIZATION	932753	119.860936933694000
WEBSITE	931878	119.748497392018000
EXPECT	929885	119.492392241663000
HOT	929861	119.489308185663000
CREATE	928044	119.255819445977000
PAUL	924709	118.827264164274000
ESPECIALLY	923929	118.727032344266000
PRODUCTION	923466	118.667535763928000
INTELLIGENCE	923374	118.655713549260000
TAKEN	923071	118.616777342257000
MONTH	922264	118.513075959248000
CLOSE	921625	118.430962968241000
LIVING	919552	118.164577631219000
FEAR	918665	118.050596061543000
TURN	918050	117.971567126536000
SOLID	917489	117.899477317530000
EXPLAIN	915554	117.650825302509000
OK	913250	117.354755926485000
AIR	913001	117.322758845482000
JOIN	912725	117.287292201479000
HOURS	912605	117.271871921478000
PRESS	911556	117.137072973800000
SOMETIMES	910377	116.985568722787000
EXPRESSED	910087	116.948303046117000
SOCIAL	907442	116.608414374422000
INDIVIDUAL	906973	116.548146780084000
ADD	906002	116.423371014407000
KEY	905151	116.314015528731000
MEDICAL	902975	116.034394451374000
HIMSELF	900900	115.767752109685000
DEAL	899000	115.523597676331000
